unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.63783E+12,11/25/2021 8:00,ETH/USDT,4297.52,4330,4287,4287.05,40303.838,173623599.8,66203
1.63782E+12,11/25/2021 7:00,ETH/USDT,4278.96,4313.23,4278.84,4297.52,35940.811,154531232,58217
1.63782E+12,11/25/2021 6:00,ETH/USDT,4279.36,4298,4266.56,4278.97,26740.442,114510327.9,47110
1.63782E+12,11/25/2021 5:00,ETH/USDT,4290.52,4296.97,4267.25,4279.36,25515.318,109248942.1,46152
1.63781E+12,11/25/2021 4:00,ETH/USDT,4318.62,4324.72,4280,4290.31,46143.404,198262453.8,68358
1.63781E+12,11/25/2021 3:00,ETH/USDT,4312.13,4326.3,4304.48,4318.61,25345.569,109365125.4,48971
1.63781E+12,11/25/2021 2:00,ETH/USDT,4323.4,4336.43,4295.45,4312.13,36059.469,155517775.9,63271
1.6378E+12,11/25/2021 1:00,ETH/USDT,4314.13,4338.21,4310.7,4323.86,41350.101,178869265.1,78301
1.6378E+12,11/25/2021 0:00,ETH/USDT,4271.29,4332.49,4250.34,4314.13,75343.495,323821833.8,118784
1.63779E+12,11/24/2021 23:00,ETH/USDT,4249.99,4279.32,4243,4271.29,26809.72,114215355.6,50402
1.63779E+12,11/24/2021 22:00,ETH/USDT,4260.55,4281.56,4238.36,4250,27168.789,115766832.2,49900
1.63779E+12,11/24/2021 21:00,ETH/USDT,4271.8,4283.69,4253.29,4260.54,36099.486,154014902.1,64333
1.63778E+12,11/24/2021 20:00,ETH/USDT,4213.73,4274.71,4202.03,4271.8,40489.895,171660004.4,72147
1.63778E+12,11/24/2021 19:00,ETH/USDT,4234.07,4240.68,4201.2,4213.73,33093.714,139541222.3,59384
1.63778E+12,11/24/2021 18:00,ETH/USDT,4213.55,4262.54,4209.77,4234.06,42830.495,181493932.2,71371
1.63777E+12,11/24/2021 17:00,ETH/USDT,4226.76,4254.19,4208,4213.56,31707.429,133960459.9,58372
1.63777E+12,11/24/2021 16:00,ETH/USDT,4253.94,4276,4220.49,4226.77,74025.597,314137482.2,89924
1.63777E+12,11/24/2021 15:00,ETH/USDT,4203.98,4274.91,4195.93,4253.93,97545.74,413421528.4,135100
1.63776E+12,11/24/2021 14:00,ETH/USDT,4222.19,4248.77,4170.38,4203.97,148381.795,624067633.3,198810
1.63776E+12,11/24/2021 13:00,ETH/USDT,4279.73,4310.08,4210,4222.21,112119.373,477168642.9,149041
1.63776E+12,11/24/2021 12:00,ETH/USDT,4295.15,4314.96,4273.07,4279.73,49064.229,210603300.4,82117
1.63775E+12,11/24/2021 11:00,ETH/USDT,4258.76,4308.57,4257.01,4295.15,35811.974,153390013.6,74177
1.63775E+12,11/24/2021 10:00,ETH/USDT,4292.03,4303,4256.16,4258.76,40483.222,173382911.1,77375
1.63774E+12,11/24/2021 9:00,ETH/USDT,4302.7,4332.02,4287.7,4292.03,41682.761,179566091.4,75958
1.63774E+12,11/24/2021 8:00,ETH/USDT,4272.39,4345,4266.72,4302.4,85928.69,369839379.5,128171
1.63774E+12,11/24/2021 7:00,ETH/USDT,4272.82,4294,4265.65,4272.39,42057.004,179948351.3,67271
1.63773E+12,11/24/2021 6:00,ETH/USDT,4272.21,4280.33,4219.7,4272.56,66495.354,282646639.7,103093
1.63773E+12,11/24/2021 5:00,ETH/USDT,4270.87,4291.92,4262.5,4272.21,28677.501,122599204.1,58109
1.63773E+12,11/24/2021 4:00,ETH/USDT,4250.16,4293.29,4243.05,4270.88,47531.031,202994240.6,83206
1.63772E+12,11/24/2021 3:00,ETH/USDT,4248.81,4257.98,4233,4250.16,45324.557,192475532.2,72942
1.63772E+12,11/24/2021 2:00,ETH/USDT,4301.23,4309.47,4235,4248.81,104354.299,445342649,152930
1.63772E+12,11/24/2021 1:00,ETH/USDT,4353.49,4364.01,4298.01,4301,51510.659,223001122.4,91528
1.63771E+12,11/24/2021 0:00,ETH/USDT,4341.36,4377,4339.84,4353.48,56705.645,247372230.7,83718
1.63771E+12,11/23/2021 23:00,ETH/USDT,4336.42,4357.68,4330.93,4341.36,22999.24,99956025.51,47618
1.6377E+12,11/23/2021 22:00,ETH/USDT,4352.48,4361,4324,4336.42,22025.025,95662957.48,47787
1.6377E+12,11/23/2021 21:00,ETH/USDT,4383.51,4385.55,4342.34,4352.49,34778.247,151553737.2,62408
1.6377E+12,11/23/2021 20:00,ETH/USDT,4358.26,4387,4342.02,4383.51,57062.379,249010480.7,95832
1.63769E+12,11/23/2021 19:00,ETH/USDT,4322.8,4362.95,4306.75,4358.27,45062.575,195277423.5,76782
1.63769E+12,11/23/2021 18:00,ETH/USDT,4322.98,4332.71,4292.43,4322.79,51655.838,222787543.5,78783
1.63769E+12,11/23/2021 17:00,ETH/USDT,4353.58,4359,4314.67,4322.98,54738.646,237416308.1,93921
1.63768E+12,11/23/2021 16:00,ETH/USDT,4272.15,4360.01,4268.52,4353.57,107614.707,465320883.9,158471
1.63768E+12,11/23/2021 15:00,ETH/USDT,4312.57,4332.77,4267.23,4272.14,113804.473,489581640,164913
1.63768E+12,11/23/2021 14:00,ETH/USDT,4183.25,4324.02,4173.44,4312.61,162574.64,691102902.9,219797
1.63767E+12,11/23/2021 13:00,ETH/USDT,4137.03,4192.98,4134.6,4183.25,56701.36,236477550,91245
1.63767E+12,11/23/2021 12:00,ETH/USDT,4135.98,4158.36,4129.66,4137.04,38887.571,161107872,67602
1.63767E+12,11/23/2021 11:00,ETH/USDT,4155.23,4176.52,4121.59,4135.36,71190.127,295185822.1,114483
1.63766E+12,11/23/2021 10:00,ETH/USDT,4142.91,4232.72,4114.34,4155.38,150105.127,627741208,209698
1.63766E+12,11/23/2021 9:00,ETH/USDT,4133.91,4193.46,4059.55,4143.33,180272.2,745321606.4,236200
1.63765E+12,11/23/2021 8:00,ETH/USDT,4108.02,4140.76,4079.26,4133.9,66464.061,273256382.1,103387
1.63765E+12,11/23/2021 7:00,ETH/USDT,4142.41,4145.76,4088,4108.21,61479.726,252734740.4,97196
1.63765E+12,11/23/2021 6:00,ETH/USDT,4156.85,4164.41,4125.07,4142.4,33856.341,140227481.3,63230
1.63764E+12,11/23/2021 5:00,ETH/USDT,4168.49,4173,4142.46,4156.74,36781.11,152834375,63037
1.63764E+12,11/23/2021 4:00,ETH/USDT,4178.28,4190,4163.16,4168.47,34955.982,146002892.5,53408
1.63764E+12,11/23/2021 3:00,ETH/USDT,4159.48,4191.74,4150.12,4178.28,57400.959,239631129.3,87553
1.63763E+12,11/23/2021 2:00,ETH/USDT,4139.95,4163.17,4116.41,4159.3,37660.913,155762859.2,62569
1.63763E+12,11/23/2021 1:00,ETH/USDT,4133.48,4154,4120.82,4139.94,50790.555,210228724.1,79889
1.63763E+12,11/23/2021 0:00,ETH/USDT,4086.41,4139.19,4063.72,4133.47,88002.783,361256950.8,115498
1.63762E+12,11/22/2021 23:00,ETH/USDT,4113.56,4114.49,4081.21,4086.57,38446.534,157453382.9,61159
1.63762E+12,11/22/2021 22:00,ETH/USDT,4079.07,4113.98,4064.68,4113.64,45046.014,184164919.8,79957
1.63761E+12,11/22/2021 21:00,ETH/USDT,4060.01,4086.67,4019.35,4079.06,110684.687,448739705.9,155385
1.63761E+12,11/22/2021 20:00,ETH/USDT,4065.93,4093.7,4051.71,4060,69913.452,284709622.6,105830
1.63761E+12,11/22/2021 19:00,ETH/USDT,4138.31,4173.76,4050,4065.93,181673.663,744890288.8,226441
1.6376E+12,11/22/2021 18:00,ETH/USDT,4209.19,4213.3,4136,4138.32,64256.635,267986396.5,101870
1.6376E+12,11/22/2021 17:00,ETH/USDT,4232.01,4235.86,4185.25,4209.19,53885.267,226723666.9,83603
